name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp,rating,contentRatingLevel,year
The Order ,"5.1 based on 14,952 user ratings",2003-09-05,Brian Helgeland,"Heath Ledger,Mark Addy,Shannyn Sossamon",21,NA,NA,NA,"sin-eater,death,priest,heaven,exorcism","Action,Mystery,Thriller","Rated R for violent images, sexuality and language","USA,Germany","English,Syriac,Aramaic,Italian,Latin",38000000,4438899(USA),7659747,102,Color,1.85:1,5.1,R,2003
Monsturd ,3.8 based on 764 user ratings,2003-04-08,NA,NA,NA,NA,NA,NA,"sewer,police,monster,vomiting,gross-out-humor","Comedy,Horror",Rated R for gross out humor and language,USA,English,3000,NA,NA,NA,Color,NA,3.8,R,2003
Looney Tunes: Back in Action ,"5.7 based on 24,125 user ratings",2003-11-14,Joe Dante,"Brendan Fraser,Jenna Elfman,Steve Martin",64,NA,NA,4,"diamond,duck,spy,monkey,stuntman","Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",Rated PG for some mild language and innuendo,"Germany,USA",English,80000000,9317371(USA),20950820,NA,Color,2.35:1,5.7,PG,2003
The Fighting Temptations ,"5.5 based on 5,795 user ratings",2003-09-19,Jonathan Lynn,"Cuba Gooding Jr.,Beyoncé Knowles,Mike Epps",53,NA,NA,NA,"church,advertising,gospel-choir,husband-wife-relationship,empire-state-building-manhattan-new-york-city","Comedy,Drama,Music,Romance",Rated PG-13 for some sexual references,USA,English,15000000,11758372(USA),30238577,123,Color,2.35:1,5.5,PG-13,2003
Spy Kids 3-D: Game Over ,"4.1 based on 40,126 user ratings",2003-07-25,Robert Rodriguez,"Daryl Sabara,Alexa PenaVega,Antonio Banderas",57,NA,NA,2,"spy,virtual-reality,surfing,trapped,mission","Action,Adventure,Comedy,Family,Sci-Fi",Rated PG for action sequences and peril,USA,English,38000000,33417739(USA),111760631,84,Color,1.85:1,4.1,PG,2003
In Hell ,"6.2 based on 14,998 user ratings",2003-08-08,Ringo Lam,"Jean-Claude Van Damme,Lawrence Taylor,Lloyd Battista",NA,NA,NA,NA,"fight,prison,russia,blood-splatter,martial-arts","Action,Thriller,Drama","Rated R for pervasive strong brutal violence, language and brief nudity",USA,English,17000000,NA,NA,98,Color,1.85:1,6.2,R,2003
After School Special ,"4.9 based on 5,230 user ratings",2006-05-25,NA,NA,NA,NA,NA,NA,"high-school,sex-scene,schoolgirl-costume,kicked-in-the-groin,girls%27-locker-room",Comedy,"Rated R for strong sexual content, crude humor, language and drinking, involving teens","Germany,USA",English,NA,15766(USA),26300,NA,Color,NA,4.9,R,2006
Imagining Argentina ,"6.3 based on 2,803 user ratings",2004-04-16,NA,NA,27,NA,NA,NA,"jail,dictator,violence,torture,raid","Drama,Romance,Thriller",Rated R for violence/torture and brief language,"Spain,UK,USA","English,Spanish",NA,NA,NA,107,Color,1.85:1,6.3,R,2004
The Second Renaissance Part II ,"8.0 based on 3,871 user ratings",2003-06-01,NA,NA,NA,NA,NA,NA,"united-nations,nudity,mushroom-cloud,laser-cutter,dismemberment","Animation,Sci-Fi,Short",NA,USA,English,NA,NA,NA,NA,Color,NA,8.0,NA,2003
Linkin Park: Live in Texas ,8.7 based on 509 user ratings,2003-11-17,NA,NA,NA,NA,NA,NA,"alternative-metal,hip-hop,rap,reference-to-deftones,nu-metal",Music,NA,USA,English,NA,NA,NA,NA,Color,1.78:1,8.7,NA,2003
Volcanoes of the Deep Sea ,7.1 based on 278 user ratings,2003-09-14,Stephen Low,"Ed Harris,Richard Lutz",NA,NA,NA,NA,"underwater,imax,shrimp,evolution","Short,Documentary",NA,USA,English,NA,NA,NA,40,Color,1.44:1,7.1,NA,2003
Eden's Curve ,5.2 based on 316 user ratings,2003-04-20,NA,NA,NA,NA,NA,NA,"coming-of-age,bathtub,gay-sex,gay-kiss,male-frontal-nudity","Drama,Romance",NA,USA,English,NA,NA,NA,91,Color,NA,5.2,NA,2003
Gigli ,"2.4 based on 41,590 user ratings",2003-08-01,Martin Brest,"Ben Affleck,Jennifer Lopez,Justin Bartha",18,NA,NA,3,"lesbian,hospital,gangster,thug,mob","Comedy,Crime,Romance","Rated R for sexual content, pervasive language and brief strong violence",USA,English,54000000,3753518(USA),5660084,121,Color,2.35:1,2.4,R,2003
Good Boy! ,"5.1 based on 3,403 user ratings",2003-10-10,NA,NA,49,NA,NA,NA,"dog,planet,neighborhood,star,friend","Comedy,Drama,Family,Fantasy,Sci-Fi",Rated PG for some mild crude humor,USA,English,17000000,13107022(USA),37566230,NA,Color,1.85:1,5.1,PG,2003
Step Into Liquid ,"7.5 based on 2,329 user ratings",2003-08-29,Dana Brown,"Laird John Hamilton,Layne Beachley,Dan Malloy",72,NA,NA,NA,"surfer,sports-documentary,vietnam-war-veteran,seal-the-animal,hairy-chest","Documentary,Sport",Rated PG for some language,USA,English,NA,135985(USA),3672451,87,Color,1.85:1,7.5,PG,2003
Atlantis: Milo's Return ,"5.0 based on 5,039 user ratings",2003-05-20,"Victor Cook,Toby Shelton","James Arnold Taylor,Cree Summer,John Mahoney",NA,NA,NA,NA,"native-american,atlantis,african-american,returning-character-with-different-actor,direct-to-video-sequel-to-theatrical-movie","Adventure,Animation,Family,Action,Comedy",NA,USA,English,NA,NA,NA,70,Color,1.66:1,5.0,NA,2003
Bringing Down the House ,"5.5 based on 30,016 user ratings",2003-03-07,Adam Shankman,"Steve Martin,Queen Latifah,Eugene Levy",39,NA,NA,NA,"lawyer,divorce,villain-arrested,spanking,wrongful-conviction",Comedy,"Rated PG-13 for language, sexual humor and drug material",USA,English,33000000,31101026(USA),132541238,105,Color,2.35:1,5.5,PG-13,2003
Kid's Story ,"7.5 based on 4,519 user ratings",2003-06-02,NA,NA,NA,NA,NA,NA,"teenager,dream,school,skateboard,cell-phone","Animation,Sci-Fi,Short",NA,USA,English,NA,NA,NA,NA,Color,NA,7.5,NA,2003
It Runs in the Family ,"5.6 based on 3,982 user ratings",2003-04-25,NA,NA,44,NA,NA,NA,"college,play,party,watching-television,vomiting","Comedy,Drama,Romance","Rated PG-13 for drug content, sexual material and language",USA,"English,Hebrew,Spanish",NA,2804441(USA),7375836,NA,Color,2.35:1,5.6,PG-13,2003
The Battle of Shaker Heights ,"6.1 based on 3,804 user ratings",2003-08-22,"Efram Potelle,Kyle Rankin","Shia LaBeouf,Elden Henson,Amy Smart",33,NA,NA,NA,"high-school,reference-to-led-zeppelin,painter,wetting-pants,bully-comeuppance","Drama,Romance,Comedy",Rated PG-13 for language and some drug references,USA,"English,German",1000000,47693(USA),279282,NA,Color,1.85:1,6.1,PG-13,2003
A Mighty Wind ,"7.3 based on 22,390 user ratings",2003-05-09,NA,NA,81,NA,NA,NA,"concert,mockumentary,musician,new-york-city,singer","Comedy,Music",Rated PG-13 for sex-related humor,USA,English,NA,2112140(USA),17508936,91,Color,1.85:1,7.3,PG-13,2003
The Animation Show ,7.6 based on 475 user ratings,2003-07-18,NA,NA,NA,NA,NA,NA,compilation,"Animation,Comedy",Rated R for some violent and sexual content,USA,"English,Japanese,German",NA,NA,NA,102,Black and White,1.37:1,7.6,R,2003
George of the Jungle 2 ,"3.3 based on 4,299 user ratings",2003-10-21,NA,NA,NA,NA,NA,NA,"male-objectification,jungle,lion,tarzan-yell,tarzan-spoof","Comedy,Family,Adventure",Rated PG for crude humor and innuendo,"USA,Australia",English,12000000,NA,NA,87,Color,1.78:1,3.3,PG,2003
Chasing Papi ,"4.8 based on 3,415 user ratings",2003-04-16,Linda Mendoza,"Eduardo Verástegui,Roselyn Sanchez,Sofía Vergara",33,NA,NA,NA,"beauty-pageant,three-women,latino,bilingual,dating","Comedy,Romance",Rated PG for mild sensuality and language,USA,"English,Spanish",NA,2404557(USA),6126237,80,Color,1.85:1,4.8,PG,2003
Inspector Gadget 2 ,"3.4 based on 3,975 user ratings",2003-03-11,Alex Zamm,"French Stewart,Elaine Hendrix,Tony Martin",NA,NA,NA,NA,"gadget,inspector,escape,chase,sequel","Action,Comedy,Family,Sci-Fi",Rated PG for some mild violence/peril,USA,English,12000000,NA,NA,89,Color,1.66:1,3.4,PG,2003
O Beautiful ,6.1 based on 450 user ratings,2002-08-07,NA,NA,NA,NA,NA,NA,"gay,religion,reference-to-harry-houdini,rape-with-an-object,anal-rape-with-a-stick","Short,Drama",NA,USA,English,NA,NA,NA,29,Color,1.33:1,6.1,NA,2002
Hollywood Homicide ,"5.3 based on 31,263 user ratings",2003-06-13,Ron Shelton,"Harrison Ford,Josh Hartnett,Isaiah Washington",47,NA,NA,NA,"murder,audition,machismo,sex,kissing-while-having-sex","Action,Comedy,Crime,Thriller","Rated PG-13 for violence, sexual situations and language",USA,English,75000000,11112632(USA),30013346,116,Color,2.35:1,5.3,PG-13,2003
Burl's ,7.0 based on 75 user ratings,2003-06-08,Maryam Karimi,"Mark Hamill,Chandler Kane Kelly,John de Lancie",NA,NA,NA,NA,"drag-queen,wrestling,transvestite,father-son-relationship,gay-teenager","Comedy,Short",NA,USA,English,NA,NA,NA,NA,Color,NA,7.0,NA,2003
"Die, Mommie, Die! ","6.5 based on 1,776 user ratings",2003-10-31,Mark Rucker,"Charles Busch,Natasha Lyonne,Jason Priestley",54,NA,NA,NA,"love,singing,singer,diva,poison",Comedy,"Rated R for strong sexual content, language and a drug scene",USA,English,NA,NA,NA,90,Color,NA,6.5,R,2003
Daddy Day Care ,"5.5 based on 49,377 user ratings",2003-05-09,Steve Carr,"Eddie Murphy,Jeff Garlin,Anjelica Huston",39,NA,NA,2,"face-painting,department-store-ride,breakfast-cereal,sponge-bob-square-pants-slippers,bloopers-during-credits","Comedy,Family",Rated PG for language,USA,"English,Klingon,German",60000000,27623580(USA),104148781,92,Color,1.85:1,5.5,PG,2003
Robot Stories ,"5.9 based on 1,314 user ratings",2003-01-20,NA,NA,66,NA,NA,NA,"robot,robot-baby,baby,office-worker,love","Drama,Romance,Sci-Fi",NA,USA,English,NA,11806(USA),131029,NA,Color,1.85:1,5.9,NA,2003
Gacy ,"4.7 based on 3,034 user ratings",2003-05-13,NA,NA,NA,NA,NA,NA,"crawl-space,victim,serial-killer,fishing-trip,democrat","Biography,Crime,Drama,Horror,Thriller","Rated R for strong grisly violence, language, some sexuality and drug use",USA,English,250000,NA,NA,88,Color,1.78:1,4.7,R,2003
Wonderland ,"6.6 based on 18,773 user ratings",2003-10-24,James Cox,"Val Kilmer,Lisa Kudrow,Kate Bosworth",43,NA,NA,NA,"police,murder,porn-star,robbery,police-investigation","Crime,Drama,Mystery,Thriller","Rated R for strong violence/grisly images, pervasive drug use and language, some sexuality/nudity","USA,Canada",English,5000000,91798(USA),1056102,104,Color,1.85:1,6.6,R,2003
A Guy Thing ,"5.6 based on 14,130 user ratings",2003-01-17,NA,NA,27,NA,NA,NA,"bachelor-party,wedding,climbing-a-tree,taxi,toilet","Comedy,Romance","Rated PG-13 for language, crude humor, some sexual content and drug references",USA,English,20000000,8006232(USA),15408822,101,Color,1.85:1,5.6,PG-13,2003
Masked and Anonymous ,"5.5 based on 3,967 user ratings",2003-08-08,Larry Charles,"Bob Dylan,John Goodman,Jessica Lange",32,NA,NA,NA,"concert,revolution,singer,jail,journalist","Comedy,Drama,Music",Rated PG-13 for some language and brief violence,"USA,UK",English,NA,30783(USA),533344,112,Color,1.85:1,5.5,PG-13,2003
Most ,"8.0 based on 1,158 user ratings",2003-01-25,NA,NA,NA,NA,NA,NA,"train,drawbridge,duty,one-word-title,sacrifice","Short,Drama",NA,"USA,Czech Republic","English,Czech",NA,NA,NA,29,Color,NA,8.0,NA,2003
How to Deal ,"5.7 based on 8,206 user ratings",2003-07-18,Clare Kilner,"Mandy Moore,Trent Ford,Dylan Baker",45,NA,NA,NA,"mother,sister,high-school,wedding,best-friend","Comedy,Drama,Romance","Rated PG-13 for sexual content, drug material, language and some thematic elements",USA,English,16000000,5809960(USA),14108518,NA,Color,1.85:1,5.7,PG-13,2003
The Rules of Attraction ,"6.7 based on 44,311 user ratings",2002-10-11,Roger Avary,"James Van Der Beek,Ian Somerhalder,Shannyn Sossamon",50,NA,NA,3,"drugs,college,drug-dealer,bisexual,student","Comedy,Drama,Romance","Rated R for strong sexual content, drug use, language and violent images","USA,Germany","English,German",4000000,2532410(USA),6525762,110,Color,1.85:1,6.7,R,2002
Monster Man ,"5.9 based on 3,831 user ratings",2005-03-11,NA,NA,NA,NA,NA,NA,"monster-truck,hitchhiker,road-trip,gas-station-restroom,sex-with-clothes-on","Adventure,Comedy,Horror","Rated R for strong horror violence/gore, language and some sexuality",USA,English,4000000,NA,NA,95,Color,1.85:1,5.9,R,2005
Kim Possible: The Secret Files ,7.4 based on 437 user ratings,2003-09-02,NA,NA,NA,NA,NA,NA,"kim-possible,surrealism,intelligence,mutant,twins","Animation,Family,Action,Comedy,Mystery",NA,USA,English,NA,NA,NA,NA,Color,NA,7.4,NA,2003
Doppelherz ,6.2 based on 360 user ratings,2003-05-13,"Marilyn Manson,Nicole McDonald","Marilyn Manson,Madonna Wayne Gacy,John 5",NA,NA,NA,NA,NA,Short,NA,USA,English,NA,NA,NA,NA,NA,NA,6.2,NA,2003
September 11 ,"7.0 based on 4,881 user ratings",2002-09-11,NA,NA,61,NA,NA,NA,"terrorist,title-directed-by-female,collapsing-building,date-in-title,episodic-structure",Drama,NA,"UK,France,Egypt,Japan,Mexico,USA,Iran","English,Spanish,French,Arabic,Hebrew,Persian,French Sign Language,Japanese",NA,NA,NA,134,Black and White,1.85:1,7.0,NA,2002
XX/XY ,"6.0 based on 2,792 user ratings",2003-07-18,NA,NA,52,NA,NA,NA,"sex,college,fear,party,commitment","Drama,Romance","Rated R for sexuality, language, and brief drug use",USA,English,NA,17089(USA),103874,91,Color,2.35:1,6.0,R,2003
They ,"4.8 based on 10,876 user ratings",2002-11-27,NA,NA,31,NA,NA,NA,"friend,nightmare,suicide,darkness,kiss","Horror,Mystery,Thriller","Rated PG-13 for terror/violence, sexual content and language","USA,Canada",English,17000000,£225867(UK),12693621,89,Color,2.35:1,4.8,PG-13,2002
Cold Creek Manor ,"4.9 based on 18,285 user ratings",2003-09-19,Mike Figgis,"Dennis Quaid,Sharon Stone,Stephen Dorff",37,NA,NA,NA,"pink-panties,girl-in-panties,teenage-girl,falling-through-a-skylight,phone-outage","Drama,Horror,Mystery,Thriller","Rated R for violence, language and some sexuality","USA,Canada,UK",English,NA,8190574(USA),21384035,118,Color,1.85:1,4.9,R,2003
Dickie Roberts: Former Child Star ,"5.6 based on 11,800 user ratings",2003-09-05,Sam Weisman,"David Spade,Mary McCormack,Alyssa Milano",36,NA,NA,NA,"former-child-star,dental-headgear,dental-braces,white-panties,panties",Comedy,"Rated PG-13 for crude and sex-related humor, language and drug references",USA,English,17000000,6660540(USA),22734486,98,Color,2.35:1,5.6,PG-13,2003
Head of State ,"5.4 based on 15,023 user ratings",2003-03-28,Chris Rock,"Chris Rock,Bernie Mac,Lynn Whitfield",44,NA,NA,NA,"party,alderman,washington-d.c.,presidential-candidate,president",Comedy,"Rated PG-13 for language, some sexuality and drug references",USA,English,35200000,13503484(USA),37788228,95,Color,1.85:1,5.4,PG-13,2003
Batman: Dead End ,"7.5 based on 5,329 user ratings",2003-07-19,NA,NA,NA,NA,NA,NA,"fan-film,the-joker,batman,escaped-patient,news-report","Short,Action,Crime,Fantasy,Sci-Fi,Thriller",NA,USA,English,30000,NA,NA,8,Color,2.35:1,7.5,NA,2003
Luster ,"5.5 based on 1,015 user ratings",2002-03-17,Everett Lewis,"Justin Herwick,B. Wyatt,Shane Powers",40,NA,NA,NA,"record-store,love,poet,orgy,artist","Comedy,Drama",NA,USA,English,NA,NA,NA,92,Color,1.33:1,5.5,NA,2002
Roof Sex ,6.4 based on 353 user ratings,2003-03-12,NA,NA,NA,NA,NA,NA,"roof,chair,stop-motion,furniture,cat","Animation,Comedy,Short",NA,USA,English,NA,NA,NA,2,Color,1.33:1,6.4,NA,2003
Rugrats Go Wild ,"5.6 based on 5,666 user ratings",2003-06-13,"John Eng,Norton Virgien","Jodi Carlisle,Lacey Chabert,Tim Curry",38,NA,NA,NA,"rugrats,kid,trapped-underwater,oxygen,underwater","Animation,Adventure,Comedy,Family,Fantasy,Musical",Rated PG for mild crude humor,USA,English,25000000,11556869(USA),39399750,NA,Color,2.35:1,5.6,PG,2003
Biker Boyz ,"4.6 based on 11,003 user ratings",2003-01-31,Reggie Rock Bythewood,"Laurence Fishburne,Derek Luke,Orlando Jones",36,NA,NA,NA,"motorcycle,african-american,helmet,biker-gang,rural-setting","Action,Drama","Rated PG-13 for violence, sexual content and language",USA,English,NA,10106992(USA),21701045,110,Color,1.85:1,4.6,PG-13,2003
200 American ,5.4 based on 727 user ratings,2003-08-10,NA,NA,NA,NA,NA,NA,"gay,hustler,name-calling,gay-slur,sex","Comedy,Drama,Romance",NA,USA,English,NA,NA,NA,84,Color,NA,5.4,NA,2003
World Record ,"7.1 based on 3,058 user ratings",2003-06-03,NA,NA,NA,NA,NA,NA,"athlete,virtual-reality,chase,wheelchair,track-and-field","Animation,Sci-Fi,Short",NA,USA,English,NA,NA,NA,NA,Color,NA,7.1,NA,2003
Flesh for the Beast ,"3.2 based on 1,043 user ratings",2003-09-27,Terry M. West,"Jane Scarlett,Sergio Jones,Clark Beasley Jr.",28,NA,NA,NA,"friends-who-live-together,stabbed-in-the-head,severed-arm,intestines,face-ripped-off","Fantasy,Horror","Rated R for horror violence/gore, sexuality and language",USA,English,NA,NA,NA,89,Color,1.85:1,3.2,R,2003
Prey for Rock & Roll ,"6.3 based on 1,741 user ratings",2004-06-04,NA,NA,48,NA,NA,NA,"contract,1980s,female-nudity,lesbian-kiss,lesbian-relationship","Drama,Music","Rated R for language, sexual content, drug use and brief violence",USA,English,NA,NA,NA,104,Color,NA,6.3,R,2004
Highwaymen ,"5.7 based on 7,323 user ratings",2004-02-19,Robert Harmon,"Jim Caviezel,Rhona Mitra,Frankie Faison",NA,NA,NA,NA,"girl-in-bra-and-panties,hit-and-run,headlights,death,murder","Action,Crime,Thriller","Rated R for violence, some gore and brief language","USA,Canada",English,NA,216697(USA),367027,80,Color,2.35:1,5.7,R,2004
Heartlands ,6.9 based on 944 user ratings,2003-04-27,NA,NA,NA,NA,NA,NA,"dart,adultery,roller-coaster,dart-game,funfair","Comedy,Drama",Rated PG-13 for a scene of sensuality and some language,"UK,USA",English,NA,NA,NA,90,Color,1.85:1,6.9,PG-13,2003
Testosterone ,"5.5 based on 1,023 user ratings",2004-06-26,David Moreton,"David Sutcliffe,Celina Font,Antonio Sabato Jr.",34,NA,NA,NA,"priest,policeman,animated-credits,pubic-hair,male-pubic-hair","Comedy,Drama,Romance","Rated R for sexual content, language and some drug use","Argentina,USA","English,Spanish",NA,29452(USA),29452,105,Color,1.85:1,5.5,R,2004
Masturbation: Putting the Fun Into Self-Loving ,8.1 based on 90 user ratings,2002-06-06,J.T. Tepnapa,"Travis Michael Holder,Sigmond Winston,Adam Browne",NA,NA,NA,NA,"1950s,documentary-style,black-and-white,bare-chested-boy,smoking","Short,Comedy",NA,USA,English,NA,NA,NA,8,Black and White,NA,8.1,NA,2002
Dark Waters ,3.2 based on 562 user ratings,2003-12-09,Phillip J. Roth,"Lorenzo Lamas,Simmone Mackinnon,Jeffrey Gorman",NA,NA,NA,NA,"shark,shark-attack,oil-rig,animal-attack,killer-shark","Action,Horror,Sci-Fi","Rated R for violence, sexuality and language",USA,English,NA,NA,NA,NA,Color,NA,3.2,R,2003
Against the Ropes ,"5.3 based on 5,915 user ratings",2004-02-20,NA,NA,36,NA,NA,NA,"boxer,boxing,boxing-manager,directed-by-co-star,boxing-arena","Biography,Drama,Romance,Sport","Rated PG-13 for crude language, violence, brief sensuality and some drug material","USA,Germany",English,39000000,3038546(USA),5881504,110,Color,2.35:1,5.3,PG-13,2004
Pride and Prejudice ,"5.3 based on 1,989 user ratings",2003-12-05,Andrew Black,"Kam Heskin,Orlando Seale,Lucila Solá",NA,NA,NA,NA,"college,jane-austen,writer,roommate,pride","Comedy,Romance",Rated PG for mild thematic elements,USA,English,NA,38329(USA),373942,NA,Color,NA,5.3,PG,2003
The Yes Men ,"6.9 based on 5,063 user ratings",2005-01-13,"Dan Ollman,Sarah Price","Andreas Bichlbauer,Mike Bonanno,Andy Bichlbaum",68,NA,NA,NA,"trade,conference,activist,world-trade-organization,thrift-store","Documentary,Comedy",Rated R for language,USA,"English,French",NA,24373(USA),198975,80,Color,1.85:1,6.9,R,2005
The Collected Shorts of Jan Svankmajer: The Later Years Vol. 2 ,8.1 based on 67 user ratings,2003-06-10,NA,NA,NA,NA,NA,NA,NA,"Animation,Comedy,Fantasy,Horror,Thriller",NA,USA,"Czech,English",NA,NA,NA,86,Color,NA,8.1,NA,2003
Exploring the Reef ,7.1 based on 239 user ratings,2003-11-04,NA,NA,NA,NA,NA,NA,"underwater,live-action-and-animation,fourth-wall,talking-to-the-camera,algae","Animation,Comedy,Short,Documentary",NA,USA,"English,French",NA,NA,NA,7,Color,1.33:1,7.1,NA,2003
Bathtime in Clerkenwell ,6.8 based on 124 user ratings,2010-09-17,Alex Budovsky,NA,NA,NA,NA,NA,"cuckoo-clock,place-name-in-title,fascist","Short,Animation",NA,USA,English,NA,NA,NA,3,Black and White,NA,6.8,NA,2010
Dracula II: Ascension ,"4.7 based on 3,142 user ratings",2003-06-07,Patrick Lussier,"Jennifer Kroll,Jason Scott Lee,Craig Sheffer",NA,NA,NA,NA,"vampire,medical-student,dracula,blood,paralysis",Horror,Rated R for violence/gore and language,"USA,Romania",English,3200000,NA,NA,85,Color,2.35:1,4.7,R,2003
The Beast Within: The Making of 'Alien' ,8.3 based on 365 user ratings,2003-12-02,NA,NA,NA,NA,NA,NA,"alien,making-of,behind-the-scenes,anecdote,dvd-extra",Documentary,NA,USA,English,NA,NA,NA,178,Color,1.33:1,8.3,NA,2003
Rendezvous with Rama ,6.5 based on 130 user ratings,2003-04-06,Aaron M. Ross,NA,NA,NA,NA,NA,"student-film,based-on-novel","Animation,Short,Sci-Fi",NA,USA,English,5000,NA,NA,NA,Color,2.35:1,6.5,NA,2003
House of the Dead ,"2.0 based on 32,039 user ratings",2003-10-10,Uwe Boll,"Jonathan Cherry,Tyron Leitso,Clint Howard",15,NA,NA,NA,"rave,island,vomiting,flail,blood-splatter","Adventure,Horror","Rated R for pervasive strong violence/gore, language and some nudity","Germany,Canada,USA",English,7000000,5683280(USA),10199354,90,Color,2.35:1,2.0,R,2003
Bobbycrush ,6.5 based on 120 user ratings,2003-11-09,Cam Archer,"Jasper Bel,Cassidy Field,Jason Jacen",NA,NA,NA,NA,"shower,sexual-fantasy,masturbation,boyhood-friend,mask",Short,NA,USA,English,1500,NA,NA,10,Color,1.33:1,6.5,NA,2003
Mimic: Sentinel ,"4.4 based on 2,608 user ratings",2003-10-14,J.T. Petty,"Lance Henriksen,Karl Geary,Alexis Dziena",NA,NA,NA,NA,"apartment,insect,death,camera,genetic-mutation","Horror,Sci-Fi,Thriller",Rated R for violence and language,USA,English,NA,NA,NA,NA,Color,1.85:1,4.4,R,2003
Camp ,"6.4 based on 5,029 user ratings",2003-08-29,Todd Graff,"Don Dixon,Daniel Letterle,Joanna Chilcoat",55,NA,NA,NA,"camp-counselor,cynicism,musical-theater,drink,making-a-costume","Comedy,Musical,Drama","Rated PG-13 for mature thematic elements regarding teen sexual issues, and some language",USA,"English,Spanish",NA,54294(USA),1628154,114,Color,1.85:1,6.4,PG-13,2003
A Sorta Fairytale ,8.8 based on 115 user ratings,2003-04-08,NA,NA,NA,NA,NA,NA,"music-video,making-of,behind-the-scenes","Documentary,Drama,Short,Music",NA,USA,English,NA,NA,NA,NA,Color,1.33:1,8.8,NA,2003
My Boss's Daughter ,"4.6 based on 24,006 user ratings",2003-08-22,David Zucker,"Ashton Kutcher,Tara Reid,Andy Richter",NA,NA,NA,NA,"crush,love-interest,housesitting,house-sitter,boss%27-daughter","Comedy,Romance","Rated PG-13 for crude and sex-related humor, drug content and language",USA,English,14000000,4855798(USA),15549702,86,Color,1.85:1,4.6,PG-13,2003
The Delicious ,6.7 based on 103 user ratings,2003-06-18,Scott Prendergast,"Scott Prendergast,Patricia Buckley,Bryan Carmel",NA,NA,NA,NA,emergency,"Comedy,Short",NA,USA,English,NA,NA,NA,NA,Color,NA,6.7,NA,2003
Cinemania ,"7.1 based on 2,008 user ratings",2003-04-10,NA,NA,67,NA,NA,NA,"new-york-city,interview,cinephilia,cinema,watching-tv",Documentary,NA,"Germany,USA",English,NA,3948(USA),11305,83,Color,NA,7.1,NA,2003
Beethoven's 5th ,"3.9 based on 2,007 user ratings",2003-12-02,NA,NA,NA,NA,NA,NA,"dog-movie,2000s,punctuation-in-title,numbered-sequel,apostrophe-in-title","Comedy,Family,Adventure",NA,USA,English,NA,NA,NA,91,Color,1.85:1,3.9,NA,2003
Bert ,7.6 based on 72 user ratings,2002-06-25,Moonsung Lee,NA,NA,NA,NA,NA,"vegetable,computer-animation","Animation,Short",NA,USA,English,NA,NA,NA,NA,Color,NA,7.6,NA,2002
Alien Hunter ,"5.1 based on 3,484 user ratings",2003-07-19,Ron Krauss,"James Spader,Janine Eser,John Lynch",NA,NA,NA,NA,"alien,elevator,alien-invasion,u-boat,womanizer","Action,Adventure,Sci-Fi,Thriller",Rated R for language and some violence,"USA,Bulgaria","English,Russian",7000000,NA,NA,92,Color,1.85:1,5.1,R,2003
End of the Century ,"8.0 based on 2,985 user ratings",2004-11-27,"Jim Fields,Michael Gramaglia","Rick Rubin,Tommy Ramone,Dee Dee Ramone",74,NA,NA,NA,"ramones,new-york-city,punk-rock,manhattan-new-york-city,world-trade-center-manhattan-new-york-city","Documentary,Biography,Music",NA,USA,English,NA,18422(USA),391950,110,Color,1.85:1,8.0,NA,2004
Below ,"6.2 based on 17,860 user ratings",2002-10-18,David Twohy,"Bruce Greenwood,David Crow,Matthew Davis",55,NA,NA,NA,"submarine,mirror,mirror-does-not-reflect-reality,war-crime,scared-by-a-mirror-image","Horror,Mystery,Thriller",Rated R for language and some violence,USA,English,NA,201431(USA),589424,105,Color,1.85:1,6.2,R,2002
The Real Cancun ,"2.7 based on 3,608 user ratings",2003-04-25,Rick de Oliveira,"Benjamin Fletcher,Nicole Frilot,Roxanne Frilot",34,NA,NA,NA,"spring-break,vacation,cancun-mexico,mexico,wisconsin",Documentary,"Rated R for strong sexuality/nudity, language and partying",USA,English,8000000,2108796(USA),3713002,NA,Color,1.85:1,2.7,R,2003
Fruitcake ,6.6 based on 63 user ratings,2003-06-06,NA,NA,NA,NA,NA,NA,"christmas,egg-nog,jello,fireplace,photograph","Comedy,Short",NA,USA,English,NA,NA,NA,NA,Color,NA,6.6,NA,2003
'Catch Me If You Can': Behind the Camera ,6.1 based on 154 user ratings,2003-05-06,NA,NA,NA,NA,NA,NA,"making-of,investigation,interview,filmmaking,fbi","Documentary,Short",NA,USA,English,NA,NA,NA,NA,Color,1.85:1,6.1,NA,2003
Dark Blue ,"6.6 based on 17,220 user ratings",2003-02-21,Ron Shelton,"Kurt Russell,Ving Rhames,Scott Speedman",57,NA,NA,NA,"investigation,police,lapd,criminal,corrupt","Crime,Drama,Romance,Thriller","Rated R for violence, language and brief sexuality","USA,UK,Germany",English,15000000,3880688(USA),9059588,118,Color,2.35:1,6.6,R,2003
Two Weeks Notice ,"6.1 based on 85,518 user ratings",2002-12-20,Marc Lawrence,"Sandra Bullock,Hugh Grant,Alicia Witt",42,NA,NA,3,"lawyer,love,new-york-city,divorce,developer","Comedy,Romance",Rated PG-13 for some sex-related humor,"USA,Australia",English,60000000,14328494(USA),93307796,101,Color,1.85:1,6.1,PG-13,2002
