Rank,RatingTomatometer,Title,No..of.Reviews,year,html_suffix
27,32%,Teenage Mutant Ninja Turtles II - The Secret of the Ooze (1991),41,1991,/m/teenage_mutant_ninja_turtles_2_the_secret_of_the_ooze/
28,30%,Hook (1991),40,1991,/m/hook/
1,98%,The Player (1992),59,1992,/m/player/
2,97%,The Crying Game (1992),62,1992,/m/crying_game/
3,95%,Unforgiven (1992),84,1992,/m/1041911-unforgiven/
4,98%,One False Move (1992),45,1992,/m/one_false_move/
5,96%,Supercop (1992),48,1992,/m/supercop/
6,94%,Aladdin (1992),68,1992,/m/1042582-aladdin/
7,94%,Glengarry Glen Ross (1992),52,1992,/m/glengarry_glen_ross/
8,91%,Malcolm X (1992),55,1992,/m/1042135-malcolm_x/
9,90%,Reservoir Dogs (1992),62,1992,/m/reservoir_dogs/
10,88%,Scent of a Woman (1992),42,1992,/m/1042193-scent_of_a_woman/
11,85%,My Cousin Vinny (1992),52,1992,/m/my_cousin_vinny/
12,85%,Wayne's World (1992),47,1992,/m/waynes_world/
13,83%,Orlando (1992),53,1992,/m/orlando/
14,83%,A River Runs Through It (1992),40,1992,/m/river_runs_through_it/
15,80%,Batman Returns (1992),70,1992,/m/batman_returns/
16,81%,A Few Good Men (1992),57,1992,/m/few_good_men/
17,81%,Sneakers (1992),47,1992,/m/sneakers/
18,80%,Singles (1992),50,1992,/m/1040379-singles/
19,78%,Bram Stoker's Dracula (1992),49,1992,/m/bram_stokers_dracula/
20,77%,A League of Their Own (1992),57,1992,/m/league_of_their_own/
21,76%,White Men Can't Jump (1992),51,1992,/m/white_men_cant_jump/
22,71%,Candyman (1992),41,1992,/m/candyman/
23,62%,Twin Peaks - Fire Walk with Me (1992),63,1992,/m/twin-peaks-fire-walk-with-me/
24,63%,The Hand that Rocks the Cradle (1992),46,1992,/m/the_hand_that_rocks_the_cradle/
25,57%,Chaplin (1992),47,1992,/m/chaplin/
26,56%,Lethal Weapon 3 (1992),43,1992,/m/lethal_weapon_3/
27,54%,Basic Instinct (1992),59,1992,/m/basic_instinct/
28,44%,Alien3 (1992),45,1992,/m/alien3/
29,23%,A Stranger Among Us (1992),40,1992,/m/stranger_among_us/
30,4%,Cool World (1992),45,1992,/m/1040378-cool_world/
1,100%,Three Colors: Blue (Trois Couleurs: Bleu) (1993),40,1993,/m/381422018/
2,96%,Schindler's List (1993),85,1993,/m/schindlers_list/
3,93%,Jurassic Park (1993),117,1993,/m/jurassic_park/
4,96%,The Fugitive (1993),72,1993,/m/1046129-fugitive/
5,96%,Groundhog Day (1993),71,1993,/m/groundhog_day/
6,94%,The Nightmare Before Christmas (1993),89,1993,/m/nightmare_before_christmas/
7,95%,In the Line of Fire (1993),66,1993,/m/in_the_line_of_fire/
8,96%,What's Love Got To Do With It? (1993),51,1993,/m/whats_love_got_to_do_with_it/
9,95%,Short Cuts (1993),55,1993,/m/short_cuts/
10,94%,Dave (1993),54,1993,/m/dave/
11,94%,Dazed and Confused (1993),52,1993,/m/dazed_and_confused/
12,94%,In the Name of the Father (1993),49,1993,/m/in_the_name_of_the_father/
13,92%,True Romance (1993),51,1993,/m/true_romance/
14,91%,Much Ado About Nothing (1993),44,1993,/m/1045992-much_ado_about_nothing/
15,90%,The Piano (1993),49,1993,/m/piano/
16,89%,What's Eating Gilbert Grape (1993),45,1993,/m/whats_eating_gilbert_grape/
17,88%,Naked (1993),52,1993,/m/1048185-naked/
18,85%,The Secret Garden (1993),40,1993,/m/1045518-secret_garden/
19,80%,The Age of Innocence (1993),45,1993,/m/age_of_innocence/
20,80%,Carlito's Way (1993),44,1993,/m/carlitos_way/
21,78%,Philadelphia (1993),50,1993,/m/philadelphia/
22,78%,Addams Family Values (1993),46,1993,/m/addams_family_values/
23,75%,The Firm (1993),52,1993,/m/1044522-firm/
24,73%,Falling Down (1993),49,1993,/m/falling_down/
25,73%,Tombstone (1993),45,1993,/m/tombstone/
26,72%,Army of Darkness (1993),46,1993,/m/army_of_darkness/
27,72%,Sleepless in Seattle (1993),46,1993,/m/sleepless_in_seattle/
28,71%,Mrs. Doubtfire (1993),49,1993,/m/mrs_doubtfire/
29,69%,Cliffhanger (1993),49,1993,/m/1044214-cliffhanger/
30,65%,Reality Bites (1993),52,1993,/m/reality_bites/
31,60%,Wayne's World 2 (1993),43,1993,/m/waynes_world_2/
32,58%,The Sandlot (1993),45,1993,/m/sandlot/
33,52%,The Pelican Brief (1993),48,1993,/m/pelican_brief/
34,45%,Ace Ventura: Pet Detective (1993),51,1993,/m/ace_ventura_pet_detective/
35,37%,Last Action Hero (1993),43,1993,/m/last_action_hero/
36,30%,Hocus Pocus (1993),43,1993,/m/1045250-hocus_pocus/
1,100%,Three Colors: Red (Trois couleurs: Rouge) (1994),48,1994,/m/1058966-red/
2,98%,Hoop Dreams (1994),50,1994,/m/hoop_dreams/
3,92%,The Lion King (1994),119,1994,/m/the_lion_king/
4,96%,Bullets Over Broadway (1994),57,1994,/m/bullets_over_broadway/
5,96%,Quiz Show (1994),53,1994,/m/quiz_show/
6,94%,Pulp Fiction (1994),77,1994,/m/pulp_fiction/
7,95%,Four Weddings and a Funeral (1994),63,1994,/m/four_weddings_and_a_funeral/
8,94%,The Last Seduction (1994),49,1994,/m/the_last_seduction/
9,93%,Speed (1994),60,1994,/m/1052692-1052692-speed/
10,92%,Ed Wood (1994),60,1994,/m/ed_wood/
11,93%,Eat Drink Man Woman (Yin shi nan nu) (1994),44,1994,/m/eat_drink_man_woman/
12,93%,The Madness of King George (1994),43,1994,/m/madness_of_king_george/
13,91%,The Shawshank Redemption (1994),66,1994,/m/shawshank_redemption/
14,92%,Heavenly Creatures (1994),49,1994,/m/heavenly_creatures/
15,91%,Nobody's Fool (1994),54,1994,/m/1059487-nobodys_fool/
16,90%,Three Colors: White (Trzy kolory: Bialy) (Trois Couleurs: Blanc) (1994),41,1994,/m/white/
17,89%,Cronos (1994),47,1994,/m/cronos/
18,88%,Clerks (1994),49,1994,/m/clerks/
19,83%,The Legend of Drunken Master (Jui kuen II) (Drunken Fist II) (1994),75,1994,/m/legend_of_drunken_master/
20,82%,The Crow (1994),50,1994,/m/crow/
21,77%,The Mask (1994),52,1994,/m/1053779-mask/
22,75%,The Santa Clause (1994),52,1994,/m/santa_clause/
23,72%,Forrest Gump (1994),85,1994,/m/forrest_gump/
24,72%,True Lies (1994),47,1994,/m/true_lies/
25,71%,L�on: The Professional (1994),59,1994,/m/leon_the_professional/
26,71%,The Ref (1994),51,1994,/m/ref/
27,67%,Maverick (1994),52,1994,/m/maverick/
28,66%,Dumb and Dumber (1994),50,1994,/m/dumb_and_dumber/
29,64%,Cobb (1994),47,1994,/m/cobb/
30,61%,Interview with the Vampire (1994),51,1994,/m/interview_with_the_vampire/
31,60%,Wolf (1994),50,1994,/m/1053942-wolf/
32,59%,Disclosure (1994),58,1994,/m/disclosure/
33,60%,Serial Mom (1994),45,1994,/m/serial_mom/
34,56%,Legends of the Fall (1994),54,1994,/m/legends_of_the_fall/
35,57%,The Hudsucker Proxy (1994),40,1994,/m/hudsucker_proxy/
36,48%,Star Trek Generations (1994),48,1994,/m/star_trek_generations/
37,48%,Stargate (1994),40,1994,/m/stargate/
38,43%,Timecop (1994),40,1994,/m/timecop/
39,39%,Mary Shelley's Frankenstein (1994),41,1994,/m/mary_shelleys_frankenstein/
40,35%,The Shadow (1994),46,1994,/m/1054125-shadow/
41,22%,Color of Night (1994),46,1994,/m/color_of_night/
42,21%,The Flintstones (1994),42,1994,/m/1051663-flintstones/
43,20%,I Love Trouble (1994),46,1994,/m/i_love_trouble/
44,10%,Beverly Hills Cop III (1994),49,1994,/m/beverly_hills_cop_3/
1,100%,Toy Story (1995),78,1995,/m/toy_story/
2,100%,Before Sunrise (1995),42,1995,/m/before_sunrise/
3,97%,Babe (1995),70,1995,/m/1065598-babe/
4,98%,Sense and Sensibility (1995),55,1995,/m/1068832-sense_and_sensibility/
5,95%,Apollo 13 (1995),85,1995,/m/apollo_13/
6,98%,The Secret of Roan Inish (1995),43,1995,/m/the-secret-of-roan-inish/
7,95%,Dead Man Walking (1995),57,1995,/m/1068779-dead_man_walking/
8,95%,Crumb (1995),41,1995,/m/crumb/
9,94%,Richard III (1995),48,1995,/m/1068177-richard_iii/
10,90%,The American President (1995),52,1995,/m/american_president/
11,90%,Welcome to the Dollhouse (1995),49,1995,/m/welcome_to_the_dollhouse/
12,90%,Leaving Las Vegas (1995),48,1995,/m/leaving_las_vegas/
13,89%,The Bridges of Madison County (1995),57,1995,/m/bridges_of_madison_county/
14,88%,The Usual Suspects (1995),69,1995,/m/usual_suspects/
15,88%,Twelve Monkeys (12 Monkeys) (1995),59,1995,/m/12_monkeys/
16,86%,Heat (1995),78,1995,/m/1068182-heat/
17,87%,To Die For (1995),54,1995,/m/1066712-to_die_for/
18,87%,Devil in a Blue Dress (1995),53,1995,/m/devil_in_a_blue_dress/
19,87%,Crimson Tide (1995),47,1995,/m/crimson_tide/
20,86%,Get Shorty (1995),51,1995,/m/get_shorty/
21,85%,Safe (1995),53,1995,/m/safe/
22,84%,Death and the Maiden (1995),49,1995,/m/death_and_the_maiden/
23,80%,Seven (Se7en) (1995),70,1995,/m/seven/
24,81%,Clueless (1995),57,1995,/m/clueless/
25,80%,Casino (1995),61,1995,/m/1067987-casino/
26,80%,While You Were Sleeping (1995),56,1995,/m/while_you_were_sleeping/
27,80%,The City of Lost Children (La Cit� des Enfants Perdus) (1995),54,1995,/m/city_of_lost_children/
28,78%,GoldenEye (1995),72,1995,/m/goldeneye/
29,79%,Rumble in the Bronx (1995),53,1995,/m/rumble_in_the_bronx/
30,78%,Braveheart (1995),65,1995,/m/1065684-braveheart/
31,78%,Muriel's Wedding (1995),40,1995,/m/muriels_wedding/
32,75%,Nixon (1995),60,1995,/m/nixon/
33,72%,Shallow Grave (1995),46,1995,/m/1058923-shallow_grave/
34,72%,Rob Roy (1995),43,1995,/m/1061000-rob_roy/
35,67%,Clockers (1995),49,1995,/m/clockers/
36,65%,Sabrina (1995),46,1995,/m/1068326-sabrina/
37,63%,Home for the Holidays (1995),46,1995,/m/1066169-home_for_the_holidays/
38,63%,The Brady Bunch Movie (1995),41,1995,/m/the_brady_bunch_movie/
39,63%,Strange Days (1995),41,1995,/m/strange_days/
40,59%,Outbreak (1995),44,1995,/m/outbreak/
41,56%,Pocahontas (1995),52,1995,/m/1063452-pocahontas/
42,56%,The Quick and the Dead (1995),41,1995,/m/1059629-quick_and_the_dead/
43,55%,Mallrats (1995),42,1995,/m/mallrats/
44,51%,Die Hard: With a Vengeance (1995),45,1995,/m/die_hard_with_a_vengeance/
45,48%,Kids (1995),54,1995,/m/kids/
46,47%,First Knight (1995),43,1995,/m/first_knight/
47,44%,Tommy Boy (1995),41,1995,/m/tommy_boy/
48,43%,Bad Boys (1995),47,1995,/m/1062483-bad_boys/
49,42%,Waterworld (1995),50,1995,/m/waterworld/
50,40%,Batman Forever (1995),58,1995,/m/batman_forever/
51,36%,The Net (1995),47,1995,/m/net/
52,32%,Hackers (1995),44,1995,/m/hackers/
53,24%,Congo (1995),46,1995,/m/congo/
54,19%,Showgirls (1995),48,1995,/m/showgirls/
55,18%,Judge Dredd (1995),51,1995,/m/judge_dredd/
56,15%,Assassins (1995),46,1995,/m/assassins/
1,98%,When We Were Kings (1996),46,1996,/m/when_we_were_kings/
2,94%,Fargo (1996),87,1996,/m/fargo/
3,96%,Big Night (1996),54,1996,/m/big_night/
4,96%,Sling Blade (1996),51,1996,/m/sling_blade/
5,95%,Hamlet (1996),55,1996,/m/1075422-hamlet/
6,93%,James and the Giant Peach (1996),72,1996,/m/james_and_the_giant_peach/
7,93%,That Thing You Do! (1996),55,1996,/m/that_thing_you_do/
8,93%,Star Trek: First Contact (1996),55,1996,/m/star_trek_first_contact/
9,93%,Lone Star (1996),46,1996,/m/1074022-lone_star/
10,90%,Trainspotting (1996),77,1996,/m/trainspotting/
11,91%,Waiting for Guffman (1996),54,1996,/m/waiting_for_guffman/
12,91%,Shine (1996),43,1996,/m/shine/
13,90%,Chungking Express (1996),51,1996,/m/chungking_express/
14,88%,Get on the Bus (1996),41,1996,/m/get_on_the_bus/
15,87%,The People Vs. Larry Flynt (1996),53,1996,/m/people_vs_larry_flynt/
16,87%,Flirting With Disaster (1996),53,1996,/m/flirting_with_disaster/
17,87%,Swingers (1996),53,1996,/m/swingers/
18,86%,Breaking the Waves (1996),56,1996,/m/breaking_the_waves/
19,85%,Bottle Rocket (1996),65,1996,/m/bottle_rocket/
20,84%,The English Patient (1996),76,1996,/m/english_patient/
21,85%,Jerry Maguire (1996),59,1996,/m/jerry_maguire/
22,86%,Fly Away Home (1996),44,1996,/m/fly_away_home/
23,85%,Courage Under Fire (1996),53,1996,/m/courage_under_fire/
24,83%,Emma (1996),48,1996,/m/1073316-emma/
25,83%,Cold Comfort Farm (1996),40,1996,/m/1071769-cold_comfort_farm/
26,81%,Looking for Richard (1996),47,1996,/m/looking_for_richard/
27,80%,Mystery Science Theater 3000: The Movie (1996),54,1996,/m/mystery_science_theater_3000_the_movie/
28,79%,Scream (1996),66,1996,/m/1074316-scream/
29,80%,Eve's Bayou (1996),51,1996,/m/eves_bayou/
30,80%,Marvin's Room (1996),49,1996,/m/marvins_room/
31,79%,Beautiful Girls (1996),47,1996,/m/beautiful_girls/
32,79%,The Birdcage (1996),47,1996,/m/birdcage/
33,79%,Everyone Says I Love You (1996),43,1996,/m/everyone_says_i_love_you/
34,78%,Michael Collins (1996),45,1996,/m/michael_collins/
35,75%,Ransom (1996),69,1996,/m/1074298-ransom/
36,74%,Sleepers (1996),54,1996,/m/1073595-sleepers/
37,74%,Primal Fear (1996),43,1996,/m/1070992-primal_fear/
38,73%,The Hunchback of Notre Dame (1996),52,1996,/m/1073037-hunchback_of_notre_dame/
39,72%,Romeo + Juliet (1996),60,1996,/m/william_shakespeares_romeo_and_juliet/
40,72%,Beavis and Butt-head Do America (1996),54,1996,/m/beavis_and_butt_head_do_america/
41,69%,Tin Cup (1996),48,1996,/m/tin_cup/
42,67%,The Crucible (1996),58,1996,/m/1074978-crucible/
43,67%,The Long Kiss Goodnight (1996),52,1996,/m/long_kiss_goodnight/
44,67%,A Time to Kill (1996),51,1996,/m/1072381-time_to_kill/
45,66%,The Rock (1996),64,1996,/m/1072011-rock/
46,64%,The Nutty Professor (1996),55,1996,/m/1071708-nutty_professor/
47,63%,Mission: Impossible (1996),51,1996,/m/mission_impossible/
48,63%,From Dusk Till Dawn (1996),46,1996,/m/from_dusk_till_dawn/
49,61%,Independence Day (1996),61,1996,/m/1071806-independence_day/
50,61%,She's the One (1996),51,1996,/m/shes_the_one/
51,60%,2 Days in the Valley (1996),53,1996,/m/2_days_in_the_valley/
52,60%,Happy Gilmore (1996),53,1996,/m/happy_gilmore/
53,60%,The Preacher's Wife (1996),43,1996,/m/preachers_wife/
54,58%,Crash (1996),50,1996,/m/1076271-crash/
55,57%,Twister (1996),53,1996,/m/1071167-twister/
56,54%,The Cable Guy (1996),57,1996,/m/cable_guy/
57,52%,Mars Attacks! (1996),63,1996,/m/mars_attacks/
58,53%,John Carpenter's Escape from L.A. (1996),47,1996,/m/escape_from_la/
59,53%,Stealing Beauty (1996),47,1996,/m/stealing_beauty/
60,50%,The Ghost and the Darkness (1996),46,1996,/m/ghost_and_the_darkness/
61,47%,My Fellow Americans (1996),58,1996,/m/my_fellow_americans/
62,44%,Multiplicity (1996),45,1996,/m/multiplicity/
63,41%,The Phantom (1996),44,1996,/m/1072083-phantom/
64,36%,Space Jam (1996),50,1996,/m/space_jam/
65,36%,Eraser (1996),45,1996,/m/eraser/
66,26%,Mary Reilly (1996),42,1996,/m/mary_reilly/
67,14%,Four Rooms (1996),44,1996,/m/four_rooms/
68,12%,Striptease (1996),68,1996,/m/striptease/
69,8%,Spy Hard (1996),40,1996,/m/spy_hard/
1,99%,L.A. Confidential (1997),108,1997,/m/la_confidential/
2,100%,The Sweet Hereafter (1997),55,1997,/m/sweet_hereafter/
3,97%,Good Will Hunting (1997),70,1997,/m/good_will_hunting/
4,88%,Titanic (1997),178,1997,/m/titanic/
5,95%,The Full Monty (1997),44,1997,/m/full_monty/
6,92%,Men in Black (1997),85,1997,/m/men_in_black/
7,92%,Face/Off (1997),83,1997,/m/faceoff/
8,94%,Ulee's Gold (1997),49,1997,/m/ulees_gold/
9,94%,Mrs. Brown (1997),49,1997,/m/mrs_brown/
10,92%,Boogie Nights (1997),65,1997,/m/boogie_nights/
11,88%,Chasing Amy (1997),83,1997,/m/chasing_amy/
12,89%,In the Company of Men (1997),54,1997,/m/in_the_company_of_men/
13,87%,Jackie Brown (1997),76,1997,/m/jackie_brown/
14,88%,The Spanish Prisoner (1997),59,1997,/m/spanish_prisoner/
15,86%,As Good as It Gets (1997),76,1997,/m/as_good_as_it_gets/
16,87%,Donnie Brasco (1997),55,1997,/m/donnie_brasco/
17,87%,Affliction (1997),47,1997,/m/affliction/
18,85%,Wag the Dog (1997),72,1997,/m/wag_the_dog/
19,85%,Anastasia (1997),52,1997,/m/1079818-anastasia/
20,85%,Rosewood (1997),48,1997,/m/rosewood/
21,84%,The Ice Storm (1997),61,1997,/m/ice_storm/
22,83%,Hercules (1997),52,1997,/m/1078028-hercules/
23,81%,Scream 2 (1997),74,1997,/m/scream_2/
24,80%,Life Is Beautiful (La Vita � bella) (1997),86,1997,/m/1084398-life_is_beautiful/
25,82%,Gattaca (1997),55,1997,/m/gattaca/
26,82%,The Rainmaker (1997),45,1997,/m/1080867-rainmaker/
27,80%,The Boxer (1997),69,1997,/m/1081497-boxer/
28,81%,Liar Liar (1997),53,1997,/m/liar_liar/
29,79%,Grosse Pointe Blank (1997),67,1997,/m/grosse_pointe_blank/
30,80%,Breakdown (1997),50,1997,/m/1077077-breakdown/
31,80%,Private Parts (1997),49,1997,/m/1075777-private_parts/
32,80%,Soul Food (1997),41,1997,/m/soul_food/
33,78%,The Butcher Boy (1997),59,1997,/m/butcher_boy/
34,78%,Air Force One (1997),54,1997,/m/air_force_one/
35,76%,Amistad (1997),62,1997,/m/amistad/
36,76%,Kundun (1997),58,1997,/m/kundun/
37,72%,Cop Land (1997),61,1997,/m/cop_land/
38,72%,The Game (1997),53,1997,/m/1078955-game/
39,72%,In & Out (1997),50,1997,/m/in_and_out/
40,71%,The Fifth Element (1997),59,1997,/m/fifth_element/
41,71%,My Best Friend's Wedding (1997),56,1997,/m/my_best_friends_wedding/
42,70%,Austin Powers: International Man of Mystery (1997),60,1997,/m/austin_powers_international_man_of_mystery/
43,70%,Romy and Michele's High School Reunion (1997),53,1997,/m/romy_and_micheles_high_school_reunion/
44,67%,The Devil's Advocate (1997),48,1997,/m/devils_advocate/
45,66%,The Pillow Book (1997),53,1997,/m/the_pillow_book/
46,66%,She's So Lovely (1997),41,1997,/m/shes_so_lovely/
47,64%,Zero Effect (1997),47,1997,/m/zero_effect/
48,63%,Starship Troopers (1997),59,1997,/m/starship_troopers/
49,62%,Contact (1997),63,1997,/m/1078021-contact/
50,60%,The Edge (1997),47,1997,/m/edge/
51,60%,Dream with the Fishes (1997),43,1997,/m/dream_with_the_fishes/
52,60%,Lost Highway (1997),42,1997,/m/lost_highway/
53,57%,Tomorrow Never Dies (1997),82,1997,/m/tomorrow_never_dies/
54,60%,The Gingerbread Man (1997),40,1997,/m/gingerbread_man/
55,59%,U-Turn (1997),49,1997,/m/u_turn_1997/
56,57%,Another Day in Paradise (1997),49,1997,/m/another_day_in_paradise_1997/
57,56%,George of the Jungle (1997),52,1997,/m/1077847-george_of_the_jungle/
58,54%,Alien Resurrection (1997),71,1997,/m/alien_resurrection/
59,54%,Con Air (1997),63,1997,/m/con_air/
60,51%,The Lost World - Jurassic Park (1997),68,1997,/m/lost_world_jurassic_park/
61,52%,Conspiracy Theory (1997),42,1997,/m/conspiracy_theory/
62,48%,Picture Perfect (1997),42,1997,/m/1078216-picture_perfect/
63,47%,Blues Brothers 2000 (1997),45,1997,/m/blues_brothers_2000/
64,45%,Absolute Power (1997),42,1997,/m/absolute_power/
65,40%,Fallen (1997),57,1997,/m/1080990-fallen/
66,38%,Anaconda (1997),48,1997,/m/anaconda/
67,36%,I Know What You Did Last Summer (1997),42,1997,/m/i_know_what_you_did_last_summer/
68,29%,The Saint (1997),45,1997,/m/saint/
69,29%,Hard Rain (1997),42,1997,/m/hard_rain/
70,25%,Fathers' Day (1997),59,1997,/m/fathers_day/
71,23%,A Thousand Acres (1997),48,1997,/m/thousand_acres/
72,20%,Jungle 2 Jungle (1997),41,1997,/m/jungle_2_jungle/
73,19%,Spawn (1997),43,1997,/m/spawn/
74,17%,Jingle All the Way (1997),42,1997,/m/jingle_all_the_way/
75,11%,Batman & Robin (1997),85,1997,/m/1077027-batman_and_robin/
76,3%,Speed 2 - Cruise Control (1997),68,1997,/m/speed_2_cruise_control/
1,94%,The Truman Show (1998),125,1998,/m/truman_show/
2,96%,Antz (1998),90,1998,/m/antz/
3,92%,Shakespeare in Love (1998),131,1998,/m/shakespeare_in_love/
4,92%,Saving Private Ryan (1998),130,1998,/m/saving_private_ryan/
5,95%,Gods and Monsters (1998),62,1998,/m/gods_and_monsters/
6,93%,Out of Sight (1998),88,1998,/m/1083436-1083436-out_of_sight/
7,92%,A Bug's Life (1998),86,1998,/m/bugs_life/
8,94%,Central Station (Central do Brasil) (1998),49,1998,/m/central-do-brasil-central-station/
9,93%,The Dreamlife of Angels (1998),43,1998,/m/the_dreamlife_of_angels/
10,89%,Rushmore (1998),102,1998,/m/rushmore/
11,91%,Ever After: A Cinderella Story (1998),64,1998,/m/ever_after_a_cinderella_story/
12,90%,A Simple Plan (1998),68,1998,/m/simple_plan/
13,91%,Cure (1998),45,1998,/m/cure_1997/
14,91%,The Apostle (1998),45,1998,/m/apostle/
15,89%,One True Thing (1998),61,1998,/m/one_true_thing/
16,86%,Mulan (1998),73,1998,/m/mulan/
17,87%,Pi (1998),55,1998,/m/pi/
18,84%,Pleasantville (1998),94,1998,/m/pleasantville/
19,86%,Hilary and Jackie (1998),57,1998,/m/hilary_and_jackie/
20,86%,The Parent Trap (1998),50,1998,/m/1083414-parent_trap/
21,83%,There's Something About Mary (1998),83,1998,/m/theres_something_about_mary/
22,83%,American History X (1998),82,1998,/m/american_history_x/
23,85%,Happiness (1998),46,1998,/m/1084175-happiness/
24,83%,The Mask of Zorro (1998),69,1998,/m/mask_of_zorro/
25,84%,Last Night (1998),49,1998,/m/1094041-last_night/
26,83%,Waking Ned Devine (1998),59,1998,/m/waking_ned_devine/
27,81%,The Big Lebowski (1998),88,1998,/m/big_lebowski/
28,82%,Elizabeth (1998),60,1998,/m/1084153-elizabeth/
29,80%,Primary Colors (1998),75,1998,/m/primary_colors/
30,79%,The Prince of Egypt (1998),85,1998,/m/prince_of_egypt/
31,81%,The General (1998),48,1998,/m/1087427-general/
32,78%,The Thin Red Line (1998),92,1998,/m/1084146-thin_red_line/
33,80%,He Got Game (1998),61,1998,/m/he_got_game/
34,80%,Slums of Beverly Hills (1998),60,1998,/m/slums_of_beverly_hills/
35,80%,The Opposite of Sex (1998),41,1998,/m/opposite_of_sex/
36,80%,Live Flesh (Carne tr�mula) (1998),40,1998,/m/live_flesh/
37,78%,Beloved (1998),67,1998,/m/1057370-beloved/
38,79%,Little Voice (1998),48,1998,/m/little_voice/
39,77%,Your Friends & Neighbors (1998),57,1998,/m/your_friends_and_neighbors/
40,78%,Buffalo '66 (1998),41,1998,/m/buffalo_66/
41,74%,Dark City (1998),81,1998,/m/dark_city/
42,75%,Bulworth (1998),65,1998,/m/bulworth/
43,75%,The Negotiator (1998),56,1998,/m/1083481-negotiator/
44,74%,The Horse Whisperer (1998),57,1998,/m/horse_whisperer/
45,75%,The Mighty (1998),40,1998,/m/mighty/
46,74%,Les Miserables (1998),43,1998,/m/1083326-les_miserables/
47,74%,Next Stop Wonderland (1998),43,1998,/m/next_stop_wonderland/
48,71%,Enemy of the State (1998),84,1998,/m/enemy_of_the_state/
49,72%,High Art (1998),43,1998,/m/high_art/
50,71%,Last Days of Disco (1998),56,1998,/m/last_days_of_disco/
51,69%,You've Got Mail (1998),83,1998,/m/youve_got_mail/
52,71%,Wilde (1998),49,1998,/m/wilde/
53,71%,Return to Paradise (1998),45,1998,/m/1083688-return_to_paradise/
54,68%,Ronin (1998),60,1998,/m/ronin/
55,67%,The Wedding Singer (1998),61,1998,/m/wedding_singer/
56,65%,Rounders (1998),80,1998,/m/1083659-rounders/
57,64%,The X-Files - Fight the Future (1998),69,1998,/m/xfiles_fight_the_future/
58,65%,Hideous Kinky (1998),52,1998,/m/hideous_kinky/
59,64%,Wild Things (1998),58,1998,/m/wild_things/
60,63%,Clay Pigeons (1998),52,1998,/m/clay_pigeons/
61,63%,Kurt and Courtney (1998),51,1998,/m/kurt_and_courtney/
62,62%,Babe: Pig in the City (1998),61,1998,/m/babe_pig_in_the_city/
63,62%,Sliding Doors (1998),50,1998,/m/sliding_doors/
64,60%,Rush Hour (1998),70,1998,/m/rush_hour/
65,60%,A Civil Action (1998),68,1998,/m/civil_action/
66,60%,Playing by Heart (1998),53,1998,/m/playing_by_heart/
67,60%,Permanent Midnight (1998),52,1998,/m/permanent_midnight/
68,59%,City of Angels (1998),61,1998,/m/city_of_angels/
69,59%,Twilight (1998),54,1998,/m/1082855-twilight/
70,59%,The Rugrats Movie (1998),49,1998,/m/rugrats_movie/
71,54%,Blade (1998),93,1998,/m/1083484-blade/
72,55%,Star Trek: Insurrection (1998),67,1998,/m/star_trek_insurrection/
73,56%,Velvet Goldmine (1998),41,1998,/m/velvet_goldmine/
74,54%,What Dreams May Come (1998),69,1998,/m/what_dreams_may_come/
75,55%,A Perfect Murder (1998),51,1998,/m/1083171-perfect_murder/
76,54%,Why Do Fools Fall In Love (1998),54,1998,/m/why_do_fools_fall_in_love/
77,54%,The Faculty (1998),50,1998,/m/faculty/
78,53%,Apt Pupil (Un Élève Doué) (1998),55,1998,/m/apt_pupil/
79,52%,Lethal Weapon 4 (1998),66,1998,/m/lethal_weapon_4/
80,52%,Two Girls and a Guy (1998),60,1998,/m/two_girls_and_a_guy/
81,52%,Mighty Joe Young (1998),46,1998,/m/1084582-mighty_joe_young/
82,52%,Pecker (1998),44,1998,/m/pecker/
83,51%,Halloween H2O (1998),57,1998,/m/halloween_h2o/
84,49%,Fear and Loathing in Las Vegas (1998),65,1998,/m/fear_and_loathing_in_las_vegas/
85,50%,Dance with Me (1998),42,1998,/m/dance_with_me/
86,49%,The Object of My Affection (1998),49,1998,/m/object_of_my_affection/
87,49%,The Corruptor (1998),47,1998,/m/corruptor/
88,48%,Deep Impact (1998),52,1998,/m/deep_impact/
89,48%,How Stella Got Her Groove Back (1998),48,1998,/m/how_stella_got_her_groove_back/
90,48%,Small Soldiers (1998),44,1998,/m/small_soldiers/
91,44%,The Siege (1998),61,1998,/m/1085113-siege/
92,44%,Stepmom (1998),55,1998,/m/stepmom/
93,44%,Very Bad Things (1998),52,1998,/m/very_bad_things/
94,39%,Armageddon (1998),115,1998,/m/armageddon/
95,43%,Dr. Dolittle (1998),51,1998,/m/dr_dolittle/
96,42%,BASEketball (1998),50,1998,/m/baseketball/
97,40%,Snake Eyes (1998),65,1998,/m/snake_eyes/
98,40%,Can't Hardly Wait (1998),58,1998,/m/cant_hardly_wait/
99,37%,Psycho (1998),76,1998,/m/1084964-psycho/
100,37%,John Carpenter's Vampires (1998),46,1998,/m/john_carpenters_vampires/
1,100%,Toy Story 2 (1999),163,1999,/m/toy_story_2/
2,96%,The Iron Giant (1999),134,1999,/m/iron_giant/
3,96%,The Insider (1999),132,1999,/m/insider/
4,98%,Todo sobre mi madre (All About My Mother) (1999),82,1999,/m/todo_sobre_mi_madre_1999/
